"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","Tap5If","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","znYl0 2","w8nwRe"
"https://lh3.googleusercontent.com/a/ACg8ocLglHKaiWmoDHi-RctLNc48BWdoHSI1WQthsgKFG7MoumiEA23P=w45-h45-p-rp-mo-ba6-br100","Sailesh Dhital","Local Guide · 163 reviews · 1,081 photos","","","3 years ago","A decent place opposite to Sumeru Hospital, Pulchowk(Damkal) for a small to medium gathering.
+ Good food( you should try their momo and achar is sooo good) …","","","Like","1","","Share","","More"
"https://lh3.googleusercontent.com/a-/ALV-UjWKK213y0aFeJK1iIF8LwrQ8wywwQkK4ZkhJtX6VdAANUXYvRmBlQ=w45-h45-p-rp-mo-br100","Shubhechchha Thapa","3 reviews","","","3 months ago","Best place for fast food and the service is also faster comparatively","","","","","","Like","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjXeAPgn-EN81NV0IsPhytkJF2YL1timhfV4iKDWjpktM4igovydaQ=w45-h45-p-rp-mo-ba5-br100","Kalyan Ghimire","Local Guide · 196 reviews · 1,003 photos","","","2 years ago","The Momo tasted bland and achar was thick and lacked proper spices. The sausage on the other hand were delicious.","","","","","","Share","Like",""
"https://lh3.googleusercontent.com/a-/ALV-UjUEl9c_PsCFWAKPQDizpXuvKPyqznH8XtjU1yZciziK_aG_2zjU=w45-h45-p-rp-mo-ba4-br100","Aishwarya Shrestha","Local Guide · 31 reviews · 63 photos","","","6 years ago","Food is quiet inexpensive but average taste. However it is easy to grab some of your friends and make this one of your gang aadda 😉 …","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVDjBu7HyDPpWhdGwWb9a3t3w0-eZYT8utsOO8JsxPZj2ojLfSS=w45-h45-p-rp-mo-ba3-br100","The Unknown","Local Guide · 26 reviews · 48 photos","","","a year ago","The food was good. It wasn't something unique nor was it bad. It was good. There are better options in that area to get a good nice dine. It simply can't keep up the competition. And It's better to take out because the hygiene there is bad. I saw cockroaches walking on the table, wall and insects there.","","","","","","Like","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjVItZh7tIZCqM2eKeP6gnU6CVGMRX2po4skx23w96q0D1PNfZZQ=w45-h45-p-rp-mo-ba3-br100","Suraj Meher Kayastha sujal1234","Local Guide · 4 reviews · 99 photos","","","4 years ago","The Beautiful Spring near Santaneshwor Temple, says "" The Heaven Fall"", Below Bhattarai Niwas, Badegoun, Jhurashi, Godawari Municipality.","","","Like","2","","Share","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUsvto3724lF4x2p_w7GxeYG8pKhPs39fvVfH7EZOwDus7rjQN4kw=w45-h45-p-rp-mo-ba6-br100","Badri Rai","Local Guide · 611 reviews · 1,202 photos","","","5 years ago","Relatively, pretty good restaurant. Service is satisfactory and food are delicious..","+2","","","","","Share","Like",""
"https://lh3.googleusercontent.com/a-/ALV-UjUY3GjLnUfj-YxtRSuoxzZ-8mDOEBA9l37MDBGVkjwxRR1AUfx_EA=w45-h45-p-rp-mo-ba4-br100","Sugam Dhakal","Local Guide · 54 reviews · 456 photos","","","6 years ago","Cheese was not that good though chips chilly and aloo stick is must try thing here. Service was also good👍. …","","","","","","Share","Like",""
"https://lh3.googleusercontent.com/a-/ALV-UjXmXZgKJZ-J6sb0PSv1Mk1GWj6aS0k52Krxy14JaGR7pryjHxj6MQ=w45-h45-p-rp-mo-ba5-br100","Nirajan Karki","Local Guide · 74 reviews · 892 photos","","","3 years ago","Here you will find the greatest stick foods. We tried mushroom sticks, pork balls, and sausages, and each one was outstanding. The sauce, on the other hand, was much better. You can get the best meal for a low price and you won't have to …","","","Like","1","","","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjWmQzFXIGoNUYu8gnCLBcQ_94ThdBomK4MtclTzbx7N5ecPCWZc=w45-h45-p-rp-mo-br100","ROSHAN JHA","1 review","","","a year ago","It was the worst experience of my life. We ordered veg jhol momo and the vegetable inside momo  stale(basi) and the taste of jhol was also so bad. When we complaint the staff too showed rude behavior and all of them were manner less. I don't recommend anyone to go there.","","","","","","Like","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjVhfIPovIitRnmTSw3SanDQ4WgS-W5TvbgLQFotuuhsSB58qVsp=w45-h45-p-rp-mo-ba4-br100","Binish Raj Khanal","Local Guide · 45 reviews · 29 photos","","","3 years ago","The service is fast. The stick foods are delicious. The momo is also good. The uniqueness about this place is the taste of the sauce they provide which is different from all other places. However, the quality of the food here is degrading which makes me sad as this used to be my most visited places to have lunch during my college life.","","","","","","Like","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjXLA0vLrwQL0t6Mz65qRonQU0cuSlqB63CbvW1zthOGARSrE9jtqw=w45-h45-p-rp-mo-br100","Bikesh Maharjan","7 reviews · 20 photos","","","6 years ago","not good food...bad customers care
Too much salty food,i asked to change the order that was salty but they dnt........","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWMPomVBglqWN1m9QBk9gQP1m4An4dR0Ql931n88_EjTA-Lle7b=w45-h45-p-rp-mo-ba4-br100","Aman Samal Magar","Local Guide · 129 reviews · 131 photos","","","6 months ago","Very old place serving stick foods at affordable price.","","","","","","Like","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjW_Dbn7GNt0ctWGntDx1POaHmfNwqCdIIanrLTZGD7XzcseBqKy=w45-h45-p-rp-mo-ba5-br100","Shardul Sapkota","Local Guide · 190 reviews · 1,450 photos","","","6 years ago","Great place for verities of snacks in reasonable price. Loved the place!","","","","","","Share","Like",""
"https://lh3.googleusercontent.com/a-/ALV-UjUPUSpM3WBBlGlMR5nYF_DttjoccAQDBnfMdFOhsNz-grYSFHuB=w45-h45-p-rp-mo-ba5-br100","Saksham Shrestha","Local Guide · 162 reviews · 489 photos","","","5 months ago","Not good foods","","","","","","Share","Like","More"
"https://lh3.googleusercontent.com/a/ACg8ocLWoDuSITsSpUq-1lR7WVMetmy0fZGFQAb2kn0Rh3HUqphhcg=w45-h45-p-rp-mo-br100","Rachel Bajracharya","2 reviews","","","2 years ago","Horrible Experience!! Went to the pulchowk branch of NPP and took my friends along too. It was the most disgusting experience ever in Nepal. We decided to sit in one of the tables but saw a baby cockroach crawling on the seat so we went to …","","","Like","1","","","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjXvIg9ONt-3c8ubv0V7l6_8zq5_1tk9b5lo1tV8sk7vs1txWZqI_A=w45-h45-p-rp-mo-ba5-br100","Niresh Maharjan","Local Guide · 211 reviews · 752 photos","","","3 years ago","Its actually not good. Water bottles, plates, sauce containers very bad. Maybe the price will justify it but still no reason to play with customers hygiene. Sticks food were tasty but didnt find any taste no chicken momo. Personally wont visit ever, folks looking for a quick cheap bite can have a go.","","","","","","Like","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjXAe0jbVFj_bX1l4in6wBUHLQl4OEoeFF1TEyWSt0ylsFMwX6Gv=w45-h45-p-rp-mo-ba4-br100","Nabin Poudel","Local Guide · 52 reviews · 21 photos","","","2 years ago","NPP used to be my go-to place when in college since they offer inexpensive ready to serve “stick-food”. Really cheap but equally delicious. Their sausages, Momo, fries, drumsticks are all full of flavor and spicy. NPP is probably the finest inexpensive yet great food serving place.","","","Like","5","","","Share",""
"https://lh3.googleusercontent.com/a/ACg8ocKY-1Mj_xW3o1YYJ_EiKZgHIk3tXIJ80zWjXvBLxuQSe9N8FQ=w45-h45-p-rp-mo-br100","Abhishek Khadka","20 reviews","","","a year ago","This place used to be so good. But now, the food is outright horrible. You’ll probably end up with a bad stomach.","","","","","","Like","Share","More"
"https://lh3.googleusercontent.com/a/ACg8ocJDi-rfT3aedD7h7SPzGmMaVc4dUXukz5ywB30oMl4uzEflXvI=w45-h45-p-rp-mo-ba4-br100","smarika thapa","Local Guide · 22 reviews · 47 photos","","","a year ago","NPP is one of the best stick food places in Lalipur. Compared to other outlets, the pulchowk one is better in service and food. Being a vegetarian, I often find myself there for their mushroom stick. This place is budget friendly as well.","","","Like","1","","","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjXMRujB8rG7RhpqarkxB51pL54XsLyXhf5B8aA0ZC0Do13C_pJV=w45-h45-p-rp-mo-ba4-br100","Suzit Maharjan","Local Guide · 93 reviews · 219 photos","","","2 years ago","Place is cheap and good for fast food. but the service is worst. plate was dirty no napkins on the table, empty water bottles, achar was also not fresh there was watery layer on top.  please provide heigneic environment even if the place is cheap.","","","","","","Like","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjV1b022SbZzMgD0uL72npbHavh-q4O4YNOy4tqh8s-4VHxfvV4f=w45-h45-p-rp-mo-br100","Ojaswee Maharjan","1 review","","","5 months ago","YUKK!! THE WORST! NOT RECOMMENDED AT ANY COST!! DOESN'T EVEN DESERVE 1 STAR!","","","Like","1","","","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjWW0eLKLTmTTQdBIpk_v-8w68vaW3I-WBxEMNJqmVmHLYHHV2Ke=w45-h45-p-rp-mo-ba5-br100","Subodh","Local Guide · 70 reviews · 1,481 photos","","","2 years ago","Worst decision to choose this resturant in mid of Pulchowk. The taste of food (specially momo and burger) is not so good. Taste and achar seems like the street food (thela wala).The stick food are normal in taste, don't expect daami taste. …","","","","","","Like","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjWks0Gbf33ROQYiKVap4DAgn6Titcj3p0NWJDDEiZP13t032eQt=w45-h45-p-rp-mo-ba3-br100","raman waiba","Local Guide · 7 reviews · 3 photos","","","a year ago","Literally had to wait an hour for momo's and the server totally forgot our side meat balls and tofu. The server keeps saying dai huna lai sakyo when i asked to cancel the ordee","","","","","","Like","Share",""
"https://lh3.googleusercontent.com/a/ACg8ocLIZzECKGZIgj-eLYEobFXrHuECBrv911IW-IuujWjxdRcDw2Y=w45-h45-p-rp-mo-ba3-br100","Subash","Local Guide · 11 reviews · 9 photos","","","10 months ago","Good for stick food but atmosphere and service could be better.","","","","","","Like","Share","More"
"https://lh3.googleusercontent.com/a/ACg8ocJldWBALaZv7Rf8cQ2wtgImYij9ymvt8fii-KUbO8AVCbF7=w45-h45-p-rp-mo-br100","SWOPNIL kalika","1 review","","","6 years ago","Less than stellar sitting area without AC and can get very hot during the summer. Pricing is affordable with range of items and is popular for stick foods. Taste is mediocre, however, the momo sauce is quite unique with rich consistency. …","","","","","","Like","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjVdllBRzTZpy88QazgQo10B_IiTGd3KPbcMuIA2h3kIXxHG-BYf=w45-h45-p-rp-mo-br100","Dipen Shrestha","2 reviews · 3 photos","","","6 months ago","Perfect place for stick foods and all.","","","","","","Like","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjVZJ-tsEO6MODnkNinw1Zd4Repl3b20m2clRRkXcP65R3PUNT2tEg=w45-h45-p-rp-mo-ba6-br100","Abhinav Joshi","Local Guide · 207 reviews · 2,951 photos","","","6 years ago","Great food at great prices. Has extremely quick service. The food here is quite mouth watering, mainly the stick food. However, the quality of the sauce has been declining. Great place if you want quick food.","","","Like","1","","","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjXxUZwdTLhSsQxXBzI00YNEBbdqbFrv7OclIP7xX8RC4hq9bic=w45-h45-p-rp-mo-ba5-br100","Ananta Neupane","Local Guide · 145 reviews · 180 photos","","","a year ago","Just a basic, eatery, cheap and opens until late night. Stick food is OK, however hygiene might be a concern, mostly during summer.","","","","","","Like","Share","More"
"https://lh3.googleusercontent.com/a-/ALV-UjWrMa_Bafh8uNJ_xyJvi3p52hRNUTkDXEGS-za40kmcVVnd95z5=w45-h45-p-rp-mo-ba5-br100","Nischaya Mathema","Local Guide · 298 reviews · 529 photos","","","7 years ago","Its alright. I go here sometimes. The food is great sometimes, but one time I got burned potatoes. I was not that happy with the service, because they forgot to bring my coke. I have been here a few times. Used to be way better 4 years back.","","","Like","16","","","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjXojXoTBk-RHxfdrlpN-9s-hHW-R4gfDZJWGsa_Z6rZ361EYEIxFA=w45-h45-p-rp-mo-ba2-br100","Rejina Shrestha","Local Guide · 18 reviews · 16 photos","","","2 years ago","Small place. I loved MOMO (buff), had tofu but the size of tofu was enormously small.
Budget friendly visit to snack on.","","","","","","Like","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjVLEN0sBqkTw9-f-sQ4b-U2EnJXLC9UYUJwvTGHqSewSqiZFo7l=w45-h45-p-rp-mo-br100","Samvrant Singh Thapa","9 reviews · 1 photo","","","2 years ago","Don't know what was wrong with my food but everything I ordered came fast but the taste was horrible...I  didn't like jhol Momo's jhol  and momo as well (for the first time in my life) the buff chowmein that I ordered had exactly 6 pieces of buff and chowmein seemed to be stale(basi) the Alo stick and mushroom stick was average.","","","","","","Like","Share",""
"https://lh3.googleusercontent.com/a/ACg8ocIxnqsZIYiCtZ8P3cde47O4zdJtK-Kpbr5kECBXTMt9oFxxcQ=w45-h45-p-rp-mo-br100","Anjali Gupta","1 review","","","3 years ago","Visited today at NPP after lockdown, foods that we ordered were disaster. Mainly the manchurian, it was uncooked. The c momo was also way too sweet. Had a horrible experience. When talk about the same to the concerned people, they denied to take our feedback. Very rude nature. Now i am not going again to this latitpur store for sure.","","","","","","Like","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjW5ICMMuAWRjLgaRid1ZC_mNzHPOAMob73xK3xnCr-Sq2ejDPWA=w45-h45-p-rp-mo-ba3-br100","Sumit","Local Guide · 65 reviews · 60 photos","","","2 years ago","Have been vising here since 6 years and the food quality has not changed, the price is also reasonable Must visit place if you are a stick food fan.","","","","","","Like","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjUTaFt7E9-pxJTEgGQKdxle5IOIv03v00rY1dVbD0sZ3BD9TXlv=w45-h45-p-rp-mo-ba4-br100","Ayush Gautam","Local Guide · 65 reviews · 1 photo","","","3 years ago","This was the goto spot some 8 years ago because it has been here for ages . The resturants were few back in time . The stick food stalls were very few back in time .So it was Ideal. …","","","","","","Like","Share","More"
